D5043,address_unlock_1_4,slave_address_unlock 2/2  (highest word)  
D5044,address_unlock_0_5,slave_address_unlock 1/2  (lowest word)  
D5045,address_unlock_1_5,slave_address_unlock 2/2  (highest word)  
D5044,address_unlock_0_5,slave_address_unlock 1/2  (lowest word)  
D5045,address_unlock_1_5,slave_address_unlock 2/2  (highest word)  
D5046,address_unlock_0_6,slave_address_unlock 1/2  (lowest word)  
D5047,address_unlock_1_6,slave_address_unlock 2/2  (highest word)  
D5046,address_unlock_0_6,slave_address_unlock 1/2  (lowest word)  
D5047,address_unlock_1_6,slave_address_unlock 2/2  (highest word)  
D5048,slave_address_1,slave_address 
D5048,slave_address_1,slave_address 
D5049,slave_address_2,slave_address 
D5049,slave_address_2,slave_address 
D5050,slave_address_3,slave_address 
D5050,slave_address_3,slave_address 
D5051,slave_address_4,slave_address 
D5051,slave_address_4,slave_address 
D5052,slave_address_5,slave_address 
D5052,slave_address_5,slave_address 
D5053,slave_address_6,slave_address 
D5053,slave_address_6,slave_address 
D5054,clear_faults_0_1,clear_faults 1/2  (lowest word)  
D5055,clear_faults_1_1,clear_faults 2/2  (highest word)  
D5054,clear_faults_0_1,clear_faults 1/2  (lowest word)  
D5055,clear_faults_1_1,clear_faults 2/2  (highest word)  
D5056,clear_faults_0_2,clear_faults 1/2  (lowest word)  
D5057,clear_faults_1_2,clear_faults 2/2  (highest word)  
D5056,clear_faults_0_2,clear_faults 1/2  (lowest word)  
D5057,clear_faults_1_2,clear_faults 2/2  (highest word)  
D5058,clear_faults_0_3,clear_faults 1/2  (lowest word)  
D5059,clear_faults_1_3,clear_faults 2/2  (highest word)  
D5058,clear_faults_0_3,clear_faults 1/2  (lowest word)  
D5059,clear_faults_1_3,clear_faults 2/2  (highest word)  
D5060,clear_faults_0_4,clear_faults 1/2  (lowest word)  
D5061,clear_faults_1_4,clear_faults 2/2  (highest word)  
D5060,clear_faults_0_4,clear_faults 1/2  (lowest word)  
D5061,clear_faults_1_4,clear_faults 2/2  (highest word)  
D5062,clear_faults_0_5,clear_faults 1/2  (lowest word)  
D5063,clear_faults_1_5,clear_faults 2/2  (highest word)  
D5062,clear_faults_0_5,clear_faults 1/2  (lowest word)  
D5063,clear_faults_1_5,clear_faults 2/2  (highest word)  
D5064,clear_faults_0_6,clear_faults 1/2  (lowest word)  
D5065,clear_faults_1_6,clear_faults 2/2  (highest word)  
D5064,clear_faults_0_6,clear_faults 1/2  (lowest word)  
D5065,clear_faults_1_6,clear_faults 2/2  (highest word)  
D5066,data_read_0_1,start_data_read 1/2  (lowest word)  
D5067,data_read_1_1,start_data_read 2/2  (highest word)  
D5066,data_read_0_1,start_data_read 1/2  (lowest word)  
D5067,data_read_1_1,start_data_read 2/2  (highest word)  
D5068,data_read_0_2,start_data_read 1/2  (lowest word)  
D5069,data_read_1_2,start_data_read 2/2  (highest word)  
D5068,data_read_0_2,start_data_read 1/2  (lowest word)  
D5069,data_read_1_2,start_data_read 2/2  (highest word)  
D5070,data_read_0_3,start_data_read 1/2  (lowest word)  
D5071,data_read_1_3,start_data_read 2/2  (highest word)  
D5070,data_read_0_3,start_data_read 1/2  (lowest word)  
D5071,data_read_1_3,start_data_read 2/2  (highest word)  
D5072,data_read_0_4,start_data_read 1/2  (lowest word)  
D5073,data_read_1_4,start_data_read 2/2  (highest word)  
D5072,data_read_0_4,start_data_read 1/2  (lowest word)  
D5073,data_read_1_4,start_data_read 2/2  (highest word)  
D5074,data_read_0_5,start_data_read 1/2  (lowest word)  
D5075,data_read_1_5,start_data_read 2/2  (highest word)  
D5074,data_read_0_5,start_data_read 1/2  (lowest word)  
D5075,data_read_1_5,start_data_read 2/2  (highest word)  
D5076,data_read_0_6,start_data_read 1/2  (lowest word)  
D5077,data_read_1_6,start_data_read 2/2  (highest word)  
D5076,data_read_0_6,start_data_read 1/2  (lowest word)  
D5077,data_read_1_6,start_data_read 2/2  (highest word)  
D5078,version_0_1,version 1/32  (lowest word)  
D5079,version_1_1,version 2/32  
D5080,version_2_1,version 3/32  
D5081,version_3_1,version 4/32  
D5082,version_4_1,version 5/32  
D5083,version_5_1,version 6/32  
D5084,version_6_1,version 7/32  
D5085,version_7_1,version 8/32  
D5086,version_8_1,version 9/32  
D5087,version_9_1,version 10/32  
D5088,version_10_1,version 11/32  
D5089,version_11_1,version 12/32  
D5090,version_12_1,version 13/32  
D5091,version_13_1,version 14/32  
D5092,version_14_1,version 15/32  
D5093,version_15_1,version 16/32  
D5094,version_16_1,version 17/32  
D5095,version_17_1,version 18/32  
D5096,version_18_1,version 19/32  
D5097,version_19_1,version 20/32  
D5098,version_20_1,version 21/32  
D5099,version_21_1,version 22/32  
D5100,version_22_1,version 23/32  
D5101,version_23_1,version 24/32  
D5102,version_24_1,version 25/32  
D5103,version_25_1,version 26/32  
D5104,version_26_1,version 27/32  
D5105,version_27_1,version 28/32  
D5106,version_28_1,version 29/32  
D5107,version_29_1,version 30/32  
D5108,version_30_1,version 31/32  
D5109,version_31_1,version 32/32  (highest word)  
D5110,version_0_2,version 1/32  (lowest word)  
D5111,version_1_2,version 2/32  
D5112,version_2_2,version 3/32  
D5113,version_3_2,version 4/32  
D5114,version_4_2,version 5/32  
D5115,version_5_2,version 6/32  
D5116,version_6_2,version 7/32  
D5117,version_7_2,version 8/32  
D5118,version_8_2,version 9/32  
D5119,version_9_2,version 10/32  
D5120,version_10_2,version 11/32  
D5121,version_11_2,version 12/32  
D5122,version_12_2,version 13/32  
D5123,version_13_2,version 14/32  
D5124,version_14_2,version 15/32  
D5125,version_15_2,version 16/32  
D5126,version_16_2,version 17/32  
D5127,version_17_2,version 18/32  
D5128,version_18_2,version 19/32  
D5129,version_19_2,version 20/32  
D5130,version_20_2,version 21/32  
D5131,version_21_2,version 22/32  
D5132,version_22_2,version 23/32  
D5133,version_23_2,version 24/32  
D5134,version_24_2,version 25/32  
D5135,version_25_2,version 26/32  
D5136,version_26_2,version 27/32  
D5137,version_27_2,version 28/32  
D5138,version_28_2,version 29/32  
D5139,version_29_2,version 30/32  
D5140,version_30_2,version 31/32  
D5141,version_31_2,version 32/32  (highest word)  
D5142,version_0_3,version 1/32  (lowest word)  
D5143,version_1_3,version 2/32  
D5144,version_2_3,version 3/32  
D5145,version_3_3,version 4/32  
D5146,version_4_3,version 5/32  
D5147,version_5_3,version 6/32  
D5148,version_6_3,version 7/32  
D5149,version_7_3,version 8/32  
D5150,version_8_3,version 9/32  
D5151,version_9_3,version 10/32  
D5152,version_10_3,version 11/32  
D5153,version_11_3,version 12/32  
D5154,version_12_3,version 13/32  
D5155,version_13_3,version 14/32  
D5156,version_14_3,version 15/32  
D5157,version_15_3,version 16/32  
D5158,version_16_3,version 17/32  
D5159,version_17_3,version 18/32  
D5160,version_18_3,version 19/32  
D5161,version_19_3,version 20/32  
D5162,version_20_3,version 21/32  
D5163,version_21_3,version 22/32  
D5164,version_22_3,version 23/32  
D5165,version_23_3,version 24/32  
D5166,version_24_3,version 25/32  
D5167,version_25_3,version 26/32  
D5168,version_26_3,version 27/32  
D5169,version_27_3,version 28/32  
D5170,version_28_3,version 29/32  
D5171,version_29_3,version 30/32  
D5172,version_30_3,version 31/32  
D5173,version_31_3,version 32/32  (highest word)  
D5174,version_0_4,version 1/32  (lowest word)  
D5175,version_1_4,version 2/32  
D5176,version_2_4,version 3/32  
D5177,version_3_4,version 4/32  
D5178,version_4_4,version 5/32  
D5179,version_5_4,version 6/32  
D5180,version_6_4,version 7/32  
D5181,version_7_4,version 8/32  
D5182,version_8_4,version 9/32  
D5183,version_9_4,version 10/32  
D5184,version_10_4,version 11/32  
D5185,version_11_4,version 12/32  
D5186,version_12_4,version 13/32  
D5187,version_13_4,version 14/32  
D5188,version_14_4,version 15/32  
D5189,version_15_4,version 16/32  
D5190,version_16_4,version 17/32  
D5191,version_17_4,version 18/32  
